"Artikelnummer";"Lagerbestand Lager [Im Hasseldamm]";"Lagerbestand Lager [Reklamation]";"Anmerkung";
"21-3586-002";"8,00";"0,00";;
"21-3586-003";"13,00";"0,00";;
"21-4061-001";"22,00";"0,00";;
"21-4061-002";"74,00";"0,00";"

212 | C | 5 Kartons | P7-F4-S3 | --

";
"21-4063-001";"8,00";"0,00";;
"21-4064-001";"11,00";"0,00";;
"21-4064-002";"10,00";"0,00";;
"21-4064-003";"5,00";"0,00";;
"21-4065-001";"15,00";"0,00";;
"21-4065-002";"18,00";"0,00";;
"21-4065-003";"9,00";"0,00";;
"21-4086-001";"0,00";"0,00";;
"21-4086-002";"4,00";"0,00";;
"21-4086-003";"0,00";"0,00";;
"2005-004";"12,00";"0,00";;
"21-4087-001";"5,00";"0,00";;
"21-4087-002";"22,00";"0,00";"208 | C | 1 Kartons | P5-F2-S3 | --";
"21-4087-003";"2,00";"0,00";;
"21-4096-002";"35,00";"0,00";"202 | A | 1 Kartons | P7-F4-S2 | --

214 | A | 1 Kartons | P7-F2-S3 | --
";
"21-4096-003";"62,00";"0,00";"214 | A | 1 Kartons | P6-F4-S1 | --

214 | A | 1 Kartons | P4-F2-S2 | --
";
"1821-005";"27,00";"0,00";"212 | C | 1 Kartons | P5-F3-S1 | --";
"1821-006";"25,00";"0,00";"212 | C | 3 Kartons | P5-F3-S1 | --";
"21-4013-004";"13,00";"0,00";;
"21-4013-005";"3,00";"0,00";;
"21-4013-006";"10,00";"0,00";;
"21-3379-001";"0,00";"0,00";;
"21-3379-002";"0,00";"0,00";"

";
"21-3379-003";"0,00";"0,00";"

";
"21-4063-003";"6,00";"0,00";;
"21-4097-001";"21,00";"0,00";;
"21-4097-002";"14,00";"0,00";;
"1804-004";"28,00";"0,00";;
"1804-005";"19,00";"0,00";;
"21-4098-001";"105,00";"0,00";"211 | M | 2 Kartons | P4-F3-S2 | --

";
"21-4098-002";"52,00";"0,00";"


";
"21-4098-004";"21,00";"0,00";;
"1824-004";"57,00";"0,00";"212 | C | 3 Kartons | P7-F4-S3 | --

";
"2315-004";"24,00";"0,00";"212 | C | 1 Kartons | P7-F4-S3 | --
";
"1884-004";"187,00";"0,00";"201 | L | 16 Kartons | P4-F3-S1 | -


 
";
"21-3379-004";"0,00";"0,00";;
"21-4100-001";"9,00";"0,00";;
"21-4100-002";"26,00";"0,00";"212 | C | 1 Kartons | P5-F3-S1 | --
";
"21-4101-001";"5,00";"0,00";;
"21-4101-002";"13,00";"0,00";"
";
"21-4102-001";"39,00";"0,00";;
"21-4102-002";"53,00";"0,00";"203 | C | 1 Kartons | P6-F2-S1 | --
";
"21-4102-003";"26,00";"0,00";;
"21-3586-004";"3,00";"0,00";;
"1884-005";"102,00";"0,00";"
";
"2314-004";"30,00";"0,00";;
"2314-005";"138,00";"0,00";"210 | C | 3 Kartons | P7-F2-S2 | --

212 | C | 6 Kartons | P5-F3-S1 | --
";
"2005-006";"22,00";"0,00";;
"2005-007";"14,00";"0,00";"202 | A | 1 Kartons | P7-F4-S2 | --";
"21-4130-001";"281,00";"0,00";;
"21-4130-002";"140,00";"0,00";;
"21-4130-003";"70,00";"0,00";;
"2238-005";"38,00";"0,00";;
"21-4153-001";"23,00";"0,00";;
"21-4153-002";"13,00";"0,00";;
"21-4153-003";"9,00";"0,00";;
"21-4153-004";"34,00";"0,00";"200 | A |  Kartons | P5-F3-S1 | --

209 | A | 1 Kartons | P8-F4-S3 | --";
"21-4154-001";"39,00";"0,00";;
"21-4154-002";"46,00";"0,00";;
"21-4154-003";"17,00";"0,00";"204 | C | 1 Kartons | P7-F2-S2 | --

";
"1824-005";"42,00";"0,00";;
"21-4155-001";"0,00";"0,00";;
"21-4155-002";"0,00";"0,00";;
"21-4156-001";"38,00";"0,00";;
"21-4156-002";"28,00";"0,00";"


212 | C | 2 Kartons | P5-F3-S1 | --";
"21-4157-001";"29,00";"0,00";;
"21-4157-002";"57,00";"0,00";"




";
"21-4164-001";"7,00";"0,00";;
"21-3587-002";"0,00";"0,00";;
"21-3587-003";"9,00";"0,00";;
"2573-002";"62,50";"0,00";;
"2573-003";"25,00";"0,00";;
"21-4212-001";"44,00";"0,00";;
"21-4212-002";"15,00";"0,00";;
"21-4212-003";"27,00";"0,00";;
"21-4212-004";"68,00";"0,00";"

214 | A | 3 Kartons | P4-F2-S3 | --

";
"21-4229-001";"10,00";"0,00";;
"21-4013-007";"15,00";"0,00";;
"21-4242-001";"26,00";"0,00";;
"21-4242-002";"54,00";"0,00";"209 | A | 2 Kartons | P9-F4-S1 | --

214 | A | 1 Kartons | P7-F2-S3 | --


";
"21-4243-001";"22,00";"0,00";;
"21-4243-002";"14,00";"0,00";;
"21-4244-001";"181,00";"0,00";"207 | A | 1 Kartons | P6-F2-S2 | --";
"21-4244-002";"90,00";"0,00";"
";
"21-4246-001";"0,00";"0,00";;
"21-4246-002";"4,00";"0,00";;
"21-4246-003";"25,00";"0,00";;
"21-4245-001";"15,00";"0,00";;
"21-4245-002";"11,00";"0,00";;
"21-4247-001";"15,00";"0,00";"53 | A | RESERVE | --D1-F1";
"21-4247-002";"26,00";"0,00";;
"21-4248-001";"24,00";"0,00";;
"21-4248-002";"15,00";"0,00";;
"21-4249-001";"21,00";"0,00";;
"21-4249-002";"0,00";"0,00";;
"21-4252-001";"22,00";"0,00";;
"21-4252-002";"20,00";"0,00";"
";
"21-4268-001";"8,00";"0,00";;
"21-4270-001";"72,00";"0,00";"210 | C | 1 Kartons | P9-F2-S1 | --";
"21-4270-002";"60,00";"0,00";;
"21-4271-001";"0,00";"0,00";;
"21-4271-002";"0,00";"0,00";;
"21-4286-001";"22,00";"0,00";;
"21-4286-002";"25,00";"0,00";;
"21-4287-001";"50,00";"0,00";;
"21-4287-002";"141,00";"0,00";"205 | J | 9 Kartons | P8-F4-S2 | --";
"21-4289-001";"55,00";"0,00";;
